entry_id,posting_date,account_code,account_name,vendor_id,vendor_name,amount,preparer,approved_by,doc_type
JE011108,2025-10-01,6400,Repairs & maintenance,V002,Sinar Harapan Enterprise,1055.81,U009,U024,AP invoice
JE029089,2025-03-13,6500,Utilities,V032,Kota Kinabalu Freight,11031.44,U012,U016,AP invoice
JE015962,2025-05-30,6600,Marketing,V031,Rimba Landscaping Sdn Bhd,2259.11,U019,U013,AP invoice
JE013556,2025-07-23,6400,Repairs & maintenance,V001,Maju Jaya Trading Sdn Bhd,16132.46,U019,U015,AP invoice
JE009009,2025-10-08,6700,Travel & entertainment,V050,Cheras Building Materials,7713.89,U019,U024,AP invoice
JE019886,2025-05-28,6600,Marketing,V053,Setapak Scaffolding,4102.99,U006,U016,AP invoice
JE001913,2025-02-21,6500,Utilities,V021,Kenanga Stationery Supplies,7160.39,U012,U014,AP invoice
JE034455,2025-06-09,5100,Cost of goods sold,V036,Cyberjaya Data Systems,3021.89,U009,U014,AP invoice
JE016208,2025-02-11,6600,Marketing,V059,Tawau Palm Logistics,13815.58,U024,U016,AP invoice
JE009927,2025-05-30,6500,Utilities,V036,Cyberjaya Data Systems,9761.87,U005,U023,AP invoice
JE026440,2025-09-26,6500,Utilities,V011,Cahaya Elektrik Sdn Bhd,639.03,U019,U013,AP invoice
JE034039,2025-07-29,5200,Freight & logistics,V049,Ampang Glass & Aluminium,4022.39,U019,U024,AP invoice
JE008648,2025-01-14,6300,Professional fees,V055,Rawang Cement Distributors,893.75,U020,U017,AP invoice
JE003777,2025-02-06,6500,Utilities,V014,Melaka Packaging Industries,1070.33,U020,U016,AP invoice
JE000274,2025-05-07,5100,Cost of goods sold,V032,Kota Kinabalu Freight,2202.19,U010,U018,AP invoice
JE004916,2025-12-16,6700,Travel & entertainment,V014,Melaka Packaging Industries,23074.61,U011,U023,AP invoice
JE021717,2025-05-13,5200,Freight & logistics,V046,Titiwangsa Medical Supplies,991.4,U020,U023,AP invoice
JE034509,2025-09-01,6200,IT & software,V016,Johor Chemical Supplies,1986.21,U024,U016,AP invoice
JE012366,2025-12-15,5200,Freight & logistics,V038,Taman Desa Food Industries,14163.7,U019,U024,AP invoice
JE014178,2025-07-31,6200,IT & software,V043,Bangsar Interior Design,2175.64,U001,U024,AP invoice
JE018068,2025-12-19,6100,Office supplies,V007,Borneo Timber Industries,32888.44,U006,U016,AP invoice
JE026237,2025-06-17,6600,Marketing,V037,Putra Heights Construction,16441.19,U012,U024,AP invoice
JE033584,2025-05-06,5200,Freight & logistics,V034,Lestari Environmental Services,3560.58,U005,U023,AP invoice
JE028859,2025-06-24,5100,Cost of goods sold,V002,Sinar Harapan Enterprise,38547.85,U022,U024,AP invoice
JE001292,2025-11-12,5100,Cost of goods sold,V014,Melaka Packaging Industries,1986.97,U003,U018,AP invoice
JE018553,2025-11-25,6400,Repairs & maintenance,V012,Penang Precision Parts,596.97,U006,U024,AP invoice
JE010969,2025-01-22,6500,Utilities,V020,Damai Security Services,10982.26,U010,U024,AP invoice
JE028720,2025-10-27,6600,Marketing,V001,Maju Jaya Trading Sdn Bhd,1138.01,U003,U024,AP invoice
JE011490,2025-10-01,6500,Utilities,V058,Skudai Lab Equipment,209.64,U022,U017,AP invoice
JE018221,2025-01-21,6200,IT & software,V055,Rawang Cement Distributors,2885.55,U005,U023,AP invoice
JE024148,2025-05-29,6300,Professional fees,V007,Borneo Timber Industries,762.96,U009,U016,AP invoice
JE011014,2025-08-20,5200,Freight & logistics,V008,Selangor Steel Works Sdn Bhd,3591.5,U004,U015,AP invoice
JE021544,2025-03-03,6200,IT & software,V058,Skudai Lab Equipment,535.49,U003,U015,AP invoice
JE022625,2025-05-29,5100,Cost of goods sold,V052,Bandar Utama Events Sdn Bhd,12993.0,U007,U015,AP invoice
JE009842,2025-05-01,6200,IT & software,V021,Kenanga Stationery Supplies,7957.65,U010,U024,AP invoice
JE034991,2025-02-24,5200,Freight & logistics,V039,Kuantan Port Services,3960.22,U005,U023,AP invoice
