transaction_id,ledger_id,expected_related_group,expected_process,known_risk,reviewer_label
R1,,R2;R3,repairs,routine,positive
R2,,R1;R3,repairs,routine,positive
R3,,R1;R2,repairs,routine,positive
F1,,F2;F3,fees,routine,positive
F2,,F1;F3,fees,routine,positive
F3,,F1;F2,fees,routine,positive
P1,,P2;P3,payroll,routine,positive
P2,,P1;P3,payroll,routine,positive
P3,,P1;P2,payroll,routine,positive
A1,,F1;F2;F3,fees,mismatch,positive
V1,,F1;F2;F3,fees,vendor_shift,positive
N1,,C1,novelty,novel,positive
C1,,R1;R2,outlier,outlier,positive
G1,,,,negative,negative
S1,,P1;P2,payroll,sparse,unlabelled
